<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,25/09/18,10:01,115350.0,115740.0,115320.0,115540.0,3063
SPFB.RTS-12.18,1,25/09/18,10:02,115540.0,115560.0,115350.0,115400.0,2128
SPFB.RTS-12.18,1,25/09/18,10:03,115390.0,115400.0,115330.0,115370.0,1150
SPFB.RTS-12.18,1,25/09/18,10:04,115380.0,115400.0,115340.0,115390.0,1052
SPFB.RTS-12.18,1,25/09/18,10:05,115390.0,115400.0,115270.0,115370.0,2008
SPFB.RTS-12.18,1,25/09/18,10:06,115370.0,115420.0,115340.0,115410.0,989
SPFB.RTS-12.18,1,25/09/18,10:07,115420.0,115460.0,115380.0,115410.0,1039
SPFB.RTS-12.18,1,25/09/18,10:08,115430.0,115490.0,115400.0,115440.0,879
SPFB.RTS-12.18,1,25/09/18,10:09,115450.0,115470.0,115310.0,115380.0,1153
SPFB.RTS-12.18,1,25/09/18,10:10,115390.0,115440.0,115340.0,115370.0,588
SPFB.RTS-12.18,1,25/09/18,10:11,115370.0,115390.0,115300.0,115320.0,704
SPFB.RTS-12.18,1,25/09/18,10:12,115330.0,115330.0,115170.0,115240.0,1597
SPFB.RTS-12.18,1,25/09/18,10:13,115240.0,115240.0,115070.0,115170.0,2301
SPFB.RTS-12.18,1,25/09/18,10:14,115160.0,115170.0,115090.0,115130.0,946
SPFB.RTS-12.18,1,25/09/18,10:15,115150.0,115150.0,115100.0,115140.0,340
SPFB.RTS-12.18,1,25/09/18,10:16,115130.0,115150.0,115000.0,115020.0,1532
SPFB.RTS-12.18,1,25/09/18,10:17,115010.0,115030.0,114930.0,114930.0,2406
SPFB.RTS-12.18,1,25/09/18,10:18,114930.0,114950.0,114820.0,114830.0,2076
SPFB.RTS-12.18,1,25/09/18,10:19,114820.0,114840.0,114650.0,114710.0,4169
SPFB.RTS-12.18,1,25/09/18,10:20,114710.0,114710.0,114480.0,114690.0,3817
SPFB.RTS-12.18,1,25/09/18,10:21,114690.0,114690.0,114610.0,114670.0,1279
SPFB.RTS-12.18,1,25/09/18,10:22,114670.0,114850.0,114650.0,114850.0,2250
SPFB.RTS-12.18,1,25/09/18,10:23,114840.0,114860.0,114750.0,114780.0,1208
SPFB.RTS-12.18,1,25/09/18,10:24,114770.0,114820.0,114740.0,114750.0,418
SPFB.RTS-12.18,1,25/09/18,10:25,114750.0,114790.0,114730.0,114760.0,336
SPFB.RTS-12.18,1,25/09/18,10:26,114760.0,114770.0,114720.0,114760.0,494
SPFB.RTS-12.18,1,25/09/18,10:27,114740.0,114840.0,114740.0,114830.0,582
SPFB.RTS-12.18,1,25/09/18,10:28,114820.0,114830.0,114750.0,114790.0,446
SPFB.RTS-12.18,1,25/09/18,10:29,114780.0,114850.0,114750.0,114820.0,572
SPFB.RTS-12.18,1,25/09/18,10:30,114820.0,114850.0,114750.0,114760.0,501
SPFB.RTS-12.18,1,25/09/18,10:31,114760.0,114850.0,114750.0,114830.0,532
SPFB.RTS-12.18,1,25/09/18,10:32,114830.0,114840.0,114770.0,114830.0,469
SPFB.RTS-12.18,1,25/09/18,10:33,114830.0,114920.0,114810.0,114900.0,869
SPFB.RTS-12.18,1,25/09/18,10:34,114890.0,114900.0,114830.0,114880.0,382
SPFB.RTS-12.18,1,25/09/18,10:35,114890.0,114950.0,114810.0,114830.0,974
SPFB.RTS-12.18,1,25/09/18,10:36,114830.0,114850.0,114790.0,114810.0,520
SPFB.RTS-12.18,1,25/09/18,10:37,114810.0,114910.0,114780.0,114910.0,518
SPFB.RTS-12.18,1,25/09/18,10:38,114890.0,114930.0,114880.0,114880.0,328
SPFB.RTS-12.18,1,25/09/18,10:39,114870.0,114890.0,114760.0,114770.0,460
SPFB.RTS-12.18,1,25/09/18,10:40,114770.0,114770.0,114650.0,114650.0,1135
SPFB.RTS-12.18,1,25/09/18,10:41,114650.0,114690.0,114630.0,114640.0,690
SPFB.RTS-12.18,1,25/09/18,10:42,114640.0,114690.0,114610.0,114660.0,458
SPFB.RTS-12.18,1,25/09/18,10:43,114660.0,114670.0,114610.0,114630.0,343
SPFB.RTS-12.18,1,25/09/18,10:44,114650.0,114730.0,114640.0,114650.0,725
SPFB.RTS-12.18,1,25/09/18,10:45,114670.0,114740.0,114650.0,114680.0,394
SPFB.RTS-12.18,1,25/09/18,10:46,114680.0,114700.0,114540.0,114570.0,986
SPFB.RTS-12.18,1,25/09/18,10:47,114560.0,114620.0,114450.0,114600.0,2114
SPFB.RTS-12.18,1,25/09/18,10:48,114600.0,114650.0,114560.0,114580.0,669
SPFB.RTS-12.18,1,25/09/18,10:49,114560.0,114590.0,114460.0,114590.0,1407
SPFB.RTS-12.18,1,25/09/18,10:50,114590.0,114590.0,114500.0,114510.0,1049
SPFB.RTS-12.18,1,25/09/18,10:51,114510.0,114630.0,114500.0,114570.0,1605
SPFB.RTS-12.18,1,25/09/18,10:52,114580.0,114600.0,114490.0,114580.0,811
SPFB.RTS-12.18,1,25/09/18,10:53,114600.0,114630.0,114560.0,114630.0,531
SPFB.RTS-12.18,1,25/09/18,10:54,114620.0,114670.0,114590.0,114640.0,476
SPFB.RTS-12.18,1,25/09/18,10:55,114630.0,114660.0,114630.0,114650.0,278
SPFB.RTS-12.18,1,25/09/18,10:56,114650.0,114680.0,114590.0,114670.0,874
SPFB.RTS-12.18,1,25/09/18,10:57,114680.0,114700.0,114610.0,114640.0,573
SPFB.RTS-12.18,1,25/09/18,10:58,114640.0,114690.0,114620.0,114660.0,453
SPFB.RTS-12.18,1,25/09/18,10:59,114650.0,114700.0,114610.0,114700.0,402
SPFB.RTS-12.18,1,25/09/18,11:00,114700.0,114700.0,114650.0,114680.0,482
SPFB.RTS-12.18,1,25/09/18,11:01,114670.0,114700.0,114620.0,114670.0,863
SPFB.RTS-12.18,1,25/09/18,11:02,114660.0,114730.0,114650.0,114710.0,932
SPFB.RTS-12.18,1,25/09/18,11:03,114700.0,114720.0,114670.0,114680.0,451
SPFB.RTS-12.18,1,25/09/18,11:04,114680.0,114680.0,114620.0,114660.0,469
SPFB.RTS-12.18,1,25/09/18,11:05,114670.0,114680.0,114630.0,114660.0,301
SPFB.RTS-12.18,1,25/09/18,11:06,114640.0,114700.0,114630.0,114670.0,190
SPFB.RTS-12.18,1,25/09/18,11:07,114660.0,114690.0,114630.0,114650.0,292
SPFB.RTS-12.18,1,25/09/18,11:08,114650.0,114660.0,114370.0,114470.0,2624
SPFB.RTS-12.18,1,25/09/18,11:09,114470.0,114500.0,114430.0,114460.0,527
SPFB.RTS-12.18,1,25/09/18,11:10,114450.0,114490.0,114360.0,114400.0,611
SPFB.RTS-12.18,1,25/09/18,11:11,114380.0,114390.0,114290.0,114310.0,1776
SPFB.RTS-12.18,1,25/09/18,11:12,114310.0,114340.0,114280.0,114320.0,1045
SPFB.RTS-12.18,1,25/09/18,11:13,114310.0,114340.0,114280.0,114320.0,582
SPFB.RTS-12.18,1,25/09/18,11:14,114330.0,114330.0,114260.0,114280.0,576
SPFB.RTS-12.18,1,25/09/18,11:15,114290.0,114330.0,114250.0,114260.0,462
SPFB.RTS-12.18,1,25/09/18,11:16,114250.0,114350.0,114220.0,114290.0,1580
SPFB.RTS-12.18,1,25/09/18,11:17,114290.0,114340.0,114270.0,114330.0,447
SPFB.RTS-12.18,1,25/09/18,11:18,114310.0,114340.0,114250.0,114310.0,483
SPFB.RTS-12.18,1,25/09/18,11:19,114310.0,114320.0,114280.0,114300.0,370
SPFB.RTS-12.18,1,25/09/18,11:20,114300.0,114350.0,114280.0,114350.0,393
SPFB.RTS-12.18,1,25/09/18,11:21,114340.0,114390.0,114300.0,114380.0,371
SPFB.RTS-12.18,1,25/09/18,11:22,114380.0,114410.0,114340.0,114370.0,591
SPFB.RTS-12.18,1,25/09/18,11:23,114360.0,114470.0,114360.0,114450.0,416
SPFB.RTS-12.18,1,25/09/18,11:24,114440.0,114470.0,114390.0,114430.0,801
SPFB.RTS-12.18,1,25/09/18,11:25,114420.0,114470.0,114410.0,114470.0,422
SPFB.RTS-12.18,1,25/09/18,11:26,114470.0,114480.0,114400.0,114470.0,457
SPFB.RTS-12.18,1,25/09/18,11:27,114470.0,114480.0,114420.0,114470.0,226
SPFB.RTS-12.18,1,25/09/18,11:28,114470.0,114490.0,114450.0,114490.0,394
SPFB.RTS-12.18,1,25/09/18,11:29,114490.0,114580.0,114480.0,114560.0,687
SPFB.RTS-12.18,1,25/09/18,11:30,114570.0,114700.0,114570.0,114680.0,1728
SPFB.RTS-12.18,1,25/09/18,11:31,114670.0,114680.0,114600.0,114610.0,691
SPFB.RTS-12.18,1,25/09/18,11:32,114600.0,114660.0,114570.0,114620.0,600
SPFB.RTS-12.18,1,25/09/18,11:33,114620.0,114640.0,114600.0,114620.0,315
SPFB.RTS-12.18,1,25/09/18,11:34,114620.0,114640.0,114580.0,114640.0,232
SPFB.RTS-12.18,1,25/09/18,11:35,114630.0,114640.0,114560.0,114560.0,222
